Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
service_city,ind,-0.009980187,0.28517556,-0.20388365,0.12060337,4
service_city,inh,0.38355482,0.37159115,8.437675,0.12060337,4
service_city,inu,0.21042944,0.33213994,4.492554,0.12060337,4
service_city,ipm,0.40011933,0.3754673,8.825291,0.12060337,4
service_city,kcy,-0.22071704,0.24422224,-4.299216,0.12060337,4
service_city,lau,0.0629218,0.30026633,1.3051927,0.12060337,4
service_city,lax,0.042570066,0.29600778,0.8793384,0.12060337,4
service_city,lou,-0.1079385,0.26563358,-2.1580815,0.12060337,4
service_city,mia,0.19649133,0.3290554,4.1841,0.12060337,4
service_city,mil,-0.10343743,0.26651254,-2.0701857,0.12060337,4
service_city,min,-0.16353801,0.2549299,-3.2284498,0.12060337,4
service_city,ncr,-0.08935993,0.2692735,-1.7940909,0.12060337,4
service_city,nev,0.0746877,0.30274424,1.5529841,0.12060337,4
service_city,nmc,0.34709623,0.36311823,7.5903835,0.12060337,4
service_city,nmx,0.05729281,0.299085,1.1870593,0.12060337,4
service_city,nny,-0.018278645,0.28348696,-0.3727436,0.12060337,4
service_city,nol,-0.010750247,0.28501862,-0.21957755,0.12060337,4
service_city,nor,-0.09418971,0.26832423,-1.8890172,0.12060337,4
service_city,nsh,-0.18969965,0.24999267,-3.722173,0.12060337,4
service_city,nvu,0.3508088,0.36397728,7.6762886,0.12060337,4
service_city,nyc,0.0070428764,0.2886584,0.1444012,0.12060337,4
service_city,ohh,-0.0773134,0.27165043,-1.5563965,0.12060337,4
service_city,ohi,-0.14507428,0.25845277,-2.8761625,0.12060337,4
service_city,okc,-0.038708445,0.27935565,-0.7858753,0.12060337,4
service_city,oma,0.1291541,0.31436348,2.7149081,0.12060337,4
service_city,phi,0.116899945,0.3117283,2.45139,0.12060337,4
service_city,phx,0.11474068,0.3112652,2.4050803,0.12060337,4
service_city,pit,-0.014860134,0.28418183,-0.3032565,0.12060337,4
service_city,san,-0.04052081,0.27899092,-0.8223474,0.12060337,4
service_city,sda,0.3651776,0.36731005,8.009565,0.12060337,4
service_city,sea,0.26182905,0.34363824,5.6423845,0.12060337,4
service_city,sew,0.18013516,0.32545447,3.8240075,0.12060337,4
service_city,sfr,0.04926721,0.29740527,1.0190874,0.12060337,4
